"Phase","Code","File","utt_dur","F0_max","F0_min","F0_mean","F0_SD","F0_range","Int_max","Int_min","Int_mean","Int_SD","Int_range","Faculty","Mod1A","Mod2A","Mod3A","Mod4A","Mod5A","Mod1B","Mod2B","Mod3B","Mod4B","Mod5B","Mod1","Mod2","Mod3","Mod4","Mod5","scoreA","scoreB","score","Arm","Group"
"test","A14","A14_ArmC2_processed.wav",4592.484,308.7658,109.7938,232.9067178,23.91710769,183.1710299,71.28931,24.05777,60.66372041,9.391522902,41.05010343,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",1481.238,288.3233,181.5444,232.4527407,24.42504312,105.4550435,70.52438,24.64952,54.99847949,12.83413363,39.75895692,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",1934.018,299.2892,204.1095,227.7793433,21.29283215,95.1275196,73.38782,24.61263,61.4992313,8.553382823,41.76911376,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",1177.228,279.0476,184.7481,234.7490047,16.01348788,94.0662428,72.20147,24.2123,59.53572723,11.38315203,40.62058927,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",730.9164,279.9695,192.5083,246.7849867,17.41185936,86.1944134,72.35639,24.56959,61.6477181,10.6453716,40.94399433,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",1306.594,288.3705,174.1296,230.1170753,23.24381646,112.7678122,70.68988,25.48288,56.19710195,11.11610099,38.22326588,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",1578.262,303.6112,202.4766,253.1048207,29.02722999,99.5968312,70.96872,26.51654,62.58908201,7.814849119,40.22693433,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",996.1162,278.4967,189.6462,225.3712032,21.52461554,87.2085319,70.97354,31.38924,60.63112062,7.58405581,35.88189944,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",1765.842,335.3469,196.4166,260.69179,32.29664294,132.7531567,73.22918,24.35853,61.2302341,12.02564922,43.04417505,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",3796.885,297.258,200.258,241.1189767,19.26149742,96.921719,72.31681,24.3757,62.43161808,9.960164001,42.25825837,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",1481.238,324.4109,179.5816,243.2783698,37.45436694,144.645134,73.53698,25.12004,60.92720289,9.293601964,40.85198471,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",1151.355,260.1526,161.0658,234.0883255,24.10860671,95.3437037,71.84924,24.47265,58.41588978,12.34814723,41.70203515,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",1009.053,292.662,179.4494,247.8765764,33.71509994,112.951034,72.20199,24.54272,57.27021652,13.01546462,41.34367126,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",1338.935,338.5686,165.9809,231.7792932,33.59069863,170.3561325,72.79113,27.70151,57.70449628,11.19059551,41.78544502,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",1410.087,322.231,217.8922,256.3178509,27.54271097,103.9887417,71.86407,29.3518,64.4834265,8.33215848,38.99908096,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",1727.033,294.7887,196.5102,231.4743071,21.26791306,97.4300377,72.31942,24.56199,60.63911793,9.934356767,40.68089709,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",3183.94,361.719,118.4324,250.6829613,34.8618115,223.8550935,73.28964,24.13708,63.11910492,8.628999361,42.84083703,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",1694.691,304.1392,195.3187,237.9430359,24.51544513,107.2991515,73.32901,26.26944,59.74995243,10.95442672,42.55240488,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",2593.783,301.2784,161.3763,226.7949511,30.80994744,138.3668742,70.97609,24.56081,55.85241009,12.46217788,40.76564781,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",355.7558,261.8171,188.5851,208.9136177,22.80229487,73.0717766,62.93869,27.56837,52.11337716,7.556389035,30.19238231,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",439.8435,275.9969,172.5155,238.482273,39.71109035,102.6063506,69.90329,28.62984,51.26204706,11.1111934,38.03051117,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",711.5116,275.9365,174.152,212.5306363,23.78850702,99.8474236,69.10825,26.36581,57.50660936,9.016646441,37.95066611,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",1403.618,343.5314,177.726,232.0359162,37.86905221,158.5396477,71.96208,24.4721,57.91476975,9.952233104,41.67188092,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",1481.238,349.8832,186.3044,253.5550395,49.09609585,163.4623933,75.72762,24.45917,57.85695103,11.39769793,43.80205026,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",601.5507,243.8697,168.7728,210.3523775,19.01529492,74.5199898,65.13434,24.75352,50.85980434,9.817364722,33.87820502,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",1513.579,342.6377,192.4532,261.3383199,41.83657159,149.635594,69.2884,24.28551,59.25071009,9.489633934,38.45952083,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
